0,10829,6737,19492
13,9695,6570,20227
26,9621,6278,18234
39,8755,5782,20120
52,9098,6427,25460
65,9587,5970,20393
78,9635,6418,20842
91,9774,6434,21960
104,9723,6318,21802
117,9846,6407,18471
130,8952,6083,18599
143,9633,6268,26798
156,9354,6342,20410
169,9114,6417,21024
182,9049,6187,18974
195,9916,5835,19269
208,8877,6160,19116
221,8946,5620,25412
234,9525,5820,18397
247,9429,6459,18129
260,8797,6018,18144
273,8862,5796,18648
286,9261,6421,20607
299,9240,6170,23768
312,9736,5889,18214
325,8998,5830,18386
338,9027,6287,20094
351,9572,6472,18024
364,9556,6107,21400
377,8746,5754,24242
390,10155,6502,20150
403,9320,6347,21640
416,9310,6192,18053
429,9230,5795,17892
442,8870,6170,19101
455,8844,6201,26498
468,9689,6244,19302
481,9595,6173,19129
494,9599,6268,19089
507,9569,5917,20044
520,9176,6342,18956
533,9874,6543,26437
546,9913,6244,21437
559,9226,6150,18874
572,8755,5880,18931
585,9703,5936,19663
598,9331,6250,18839
611,8775,5842,22120
624,9325,5963,17766
637,9458,5968,17706
650,9654,5848,17196
663,8544,5675,18173
676,8743,5758,17785
689,8717,6259,18194
702,8791,6297,25571
715,9303,5719,18824
728,9256,6366,19007
741,9908,6124,18865
754,9257,5937,18832
767,9791,5931,18977
780,9336,6474,24365
793,9581,6169,19314
806,8737,5717,18025
819,8877,6172,18082
832,8810,5691,17657
845,8874,5665,18714
858,9037,6190,25460
871,10211,6119,19608
884,10134,6427,18928
897,8835,6224,17266
910,8718,6092,17898
923,8893,5654,17620
936,8631,6110,23832
949,9553,6220,19991
962,8925,6267,18890
975,9938,6265,19366
988,8865,5852,20176
1001,8832,6150,18472
1014,8797,5794,24413
1027,9031,5948,17583
1040,8864,6136,19038
1053,9063,5993,18303
1066,9123,5638,18029
1079,9045,6165,17788
1092,9282,6337,24559
1105,9183,6376,18652
1118,9678,6356,20593
1131,9917,6295,19143
1144,8753,6353,18292
1157,9589,5935,18851
1170,9553,6374,18414
1183,8804,5760,24434
1196,8899,6407,18519
1209,9043,5800,17756
1222,8854,5638,19241
1235,8763,5691,17721
1248,8625,5706,17914
1261,8562,5668,24454
1274,8790,5725,18238
1287,9480,5945,17854
