0,2765670,36844
13,2368668,34803
26,2435800,34490
39,1864602,52295
52,1641205,40320
65,1685315,49564
78,2096888,85653
91,1750366,78328
104,1852776,90907
117,2246737,63555
130,1617235,31765
143,2041511,45331
156,1687422,35350
169,1549230,46873
182,1529984,29903
195,1664493,42846
208,1745207,37869
221,1540261,37792
234,1606301,49263
247,1711662,52858
260,2007399,57942
273,1797042,67260
286,2356212,84040
299,2227349,105313
312,2237860,137130
325,2042331,135501
338,3821702,113514
351,2018845,57982
364,1958019,56749
377,1965067,57546
390,1881303,57612
403,2037224,58861
416,1903243,57358
429,1985527,57363
442,1912330,64889
455,1939612,76478
468,1898933,60601
481,1816421,63558
494,1792705,59862
507,1846059,101197
520,1898961,82032
533,1941517,68796
546,2194910,68744
559,2151378,60391
572,1922506,72923
585,1855486,75264
598,2055577,60746
611,1980928,74616
624,1895688,49217
637,1618251,48165
650,2000330,58097
663,1769519,52820
676,1703171,49179
689,1568784,49804
702,1631748,48848
715,1928197,121696
728,2652700,135337
741,2772473,163139
754,2669127,204021
767,2599939,153813
780,2549612,202081
793,2663031,158286
806,3036173,180540
819,2654503,159185
832,2687802,131560
845,2510065,128927
858,2664277,127540
871,2649964,172957
884,2998626,213862
897,3229975,182832
910,2666068,133102
923,3000287,270634
936,2915334,172821
949,2878646,167604
962,2703915,166317
975,2684104,201441
988,3249683,127197
1001,3904747,128492
1014,2569818,134512
1027,2501313,227945
1040,2603414,132510
1053,2684338,190790
1066,3152231,224408
1079,3432070,205253
1092,2579324,158912
1105,1820876,57623
1118,1850051,85558
1131,1982705,64649
1144,2034988,63459
1157,1906528,64603
1170,2013801,63877
1183,1955271,106321
1196,2143754,84284
1209,2220328,73085
1222,1883680,74090
1235,2036451,65387
1248,2435015,89323
1261,2156942,64528
1274,1890669,73644
1287,2016819,79977
